business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NATIONAL AUTO ELECTRICAL WORKS,Auto Electrician and AC Repair,Electrical repair shop,Electrical repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 74885 25718,N/A,5.0,3.0,"Talgoria more Esl Road Chas, Bokaro Steel City, Jharkhand 827013",835302,23.6449446,86.2000511,ChIJk585p4Uh9DkRLmUvMd7czQQ,https://www.google.com/maps/place/?q=place_id:ChIJk585p4Uh9DkRLmUvMd7czQQ,part_390,2026-09-20 20:31:07
Hindustan Auto Workshop,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 62067 34184,N/A,4.7,13.0,"hindustan Auto Workshop, NH 333A, near Petrol Pump Jhajha, Jhajha, Bihar 811308",835302,24.7905004,86.36252759999999,ChIJ2buwExV58TkRN8TVGck-5IM,https://www.google.com/maps/place/?q=place_id:ChIJ2buwExV58TkRN8TVGck-5IM,part_390,2026-09-20 20:31:07
Jharkhand Auto Electrical works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 80020 35458,N/A,,,"Tilgaria more, dhanbad road, near swaraj agency, Bokaro Steel City, Jharkhand 827013",835302,23.6541592,86.1993174,ChIJAbmBEUQh9DkR7O5J9Vg2xto,https://www.google.com/maps/place/?q=place_id:ChIJAbmBEUQh9DkR7O5J9Vg2xto,part_390,2026-09-20 20:31:07
M Electric Repairing Shop,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 72098 01093,N/A,,,"7 No, Loyabad, Jharkhand 828101",835302,23.785222299999997,86.3551548,ChIJZWFapQOj9jkRvotHQUzroGI,https://www.google.com/maps/place/?q=place_id:ChIJZWFapQOj9jkRvotHQUzroGI,part_390,2026-09-20 20:31:07
Wasi Khan car workshop,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 62055 96386,N/A,4.0,,"Lohardaga, Jharkhand 835302",835302,23.446472099999998,84.690384,ChIJ8RvFdwAlizkRGcgEI-RtDPQ,https://www.google.com/maps/place/?q=place_id:ChIJ8RvFdwAlizkRGcgEI-RtDPQ,part_390,2026-09-20 20:31:09
Danish Workshop,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 62007 79901,N/A,,,"Danish Work Shop, Bhandara Main Road, Lohardaga, Bhandra, Jharkhand 835302",835302,23.3594033,84.8044267,ChIJ33cL3fUpizkRc0wN1_vsmAo,https://www.google.com/maps/place/?q=place_id:ChIJ33cL3fUpizkRc0wN1_vsmAo,part_390,2026-09-20 20:31:09
GM MOTORS,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 62018 86972,N/A,4.0,,"New Road, Lohardaga, Jharkhand 835302",835302,23.4360027,84.6851597,ChIJ4zlGRQAjizkR9oEoz1Y_u-k,https://www.google.com/maps/place/?q=place_id:ChIJ4zlGRQAjizkR9oEoz1Y_u-k,part_390,2026-09-20 20:31:09
MR CAR CARE,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 76677 40182,https://wa.me/message/6CRZVDO3ZPBRC1,5.0,,"MR CAR CARE, Midil school maidan, Kisko, Jharkhand 835302",835302,23.5151477,84.6669606,ChIJOVvDDPc9izkRMExjLHyiCPU,https://www.google.com/maps/place/?q=place_id:ChIJOVvDDPc9izkRMExjLHyiCPU,part_390,2026-09-20 20:31:09
Alam body work shop,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,N/A,,,"Kudu-Gumla Rd, Chandu, Nontilo, Jharkhand 835213",835302,23.5259245,84.77962769999999,ChIJtQRQNwAxizkRX3o7waGYAV0,https://www.google.com/maps/place/?q=place_id:ChIJtQRQNwAxizkRX3o7waGYAV0,part_390,2026-09-20 20:31:09
Amrit Yamaha,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 89693 01099,N/A,,,"Yamaha service center, plamergunj chowk, Court Rd, Amrit Yamha, Lohardaga, Jharkhand 835302",Amrit Yamha,23.4444187,84.6926184,ChIJjRpHg_slizkR-mT0pDiRWv4,https://www.google.com/maps/place/?q=place_id:ChIJjRpHg_slizkR-mT0pDiRWv4,part_390,2026-09-20 20:31:09
