business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rudransh IT solutions,Computer Sales and Laptop Repair,Computer service,"Computer service, Camera repair shop, Cell phone store, Computer store, Mobile phone repair shop",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 76310 33145,N/A,4.9,20.0,"Court Rd, Baba math, Lohardaga, Jharkhand 835302",Baba math,23.4446212,84.6906693,ChIJfR9-e7IlizkRPsdpFy3tHd8,https://www.google.com/maps/place/?q=place_id:ChIJfR9-e7IlizkRPsdpFy3tHd8,part_390,2026-09-20 20:31:26
The Computer Shop-MAC ( Maa Ambey Communication),Computer Sales and Laptop Repair,Electronics store,Electronics store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 97092 81875,N/A,4.3,28.0,"near sahu petrol pump, palmer gunj, Lohardaga, Jharkhand 835302",palmer gunj,23.4434216,84.6885556,ChIJA5nzceYjizkRHBH2tChMt5o,https://www.google.com/maps/place/?q=place_id:ChIJA5nzceYjizkRHBH2tChMt5o,part_390,2026-09-20 20:31:26
Quality Mobile & Computer,Computer Sales and Laptop Repair,Computer store,Computer store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 70506 07628,N/A,4.9,16.0,"Alka holl, Lohardaga, Jharkhand 835302",835302,23.4344383,84.68437589999999,ChIJk-O_BH0jizkRHun2JY8K3aM,https://www.google.com/maps/place/?q=place_id:ChIJk-O_BH0jizkRHun2JY8K3aM,part_390,2026-09-20 20:31:26
DIGITAL CARE.,Computer Sales and Laptop Repair,Computer store,Computer store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 87895 08736,N/A,5.0,6.0,"New road, near royal galaxy hotel, Lohardaga, Jharkhand 835302",835302,23.435925299999997,84.6851482,ChIJ0V-yx7gjizkRQqLV95nPY8I,https://www.google.com/maps/place/?q=place_id:ChIJ0V-yx7gjizkRQqLV95nPY8I,part_390,2026-09-20 20:31:26
R.S. Electronics,Computer Sales and Laptop Repair,Electronics store,Electronics store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 93043 85688,N/A,4.3,3.0,"Lohardaga Rd, Lohardaga, Jharkhand 835302",835302,23.4334296,84.6802294,ChIJa4Pd_XgjizkRavxM-o8-kjo,https://www.google.com/maps/place/?q=place_id:ChIJa4Pd_XgjizkRavxM-o8-kjo,part_390,2026-09-20 20:31:26
Arsh computer,Computer Sales and Laptop Repair,Computer store,"Computer store, Repair service",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 79790 59989,N/A,3.8,19.0,"Shahid chock, near umrah place, Lohardaga, Jharkhand 835302",835302,23.438989499999998,84.6859693,ChIJuxmAUYUjizkRxlB9OnU417w,https://www.google.com/maps/place/?q=place_id:ChIJuxmAUYUjizkRxlB9OnU417w,part_390,2026-09-20 20:31:26
A2Z COMPUTER SOLUTION,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,N/A,5.0,1.0,"Kuru, Jharkhand 835302",835302,23.5384817,84.8194082,ChIJ3Z8lZ1YxizkRCZdLc99sXz4,https://www.google.com/maps/place/?q=place_id:ChIJ3Z8lZ1YxizkRCZdLc99sXz4,part_390,2026-09-20 20:31:26
Google online,Computer Sales and Laptop Repair,Computer store,Computer store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,N/A,,,"ANJUMAN MUHALLA, Mahatma Gandhi Rd, Lohardaga, Jharkhand 825302",835302,23.434810499999998,84.68242769999999,ChIJG6NEQvEjizkRJZAcyQzmptU,https://www.google.com/maps/place/?q=place_id:ChIJG6NEQvEjizkRJZAcyQzmptU,part_390,2026-09-20 20:31:26
link india infotech,Computer Sales and Laptop Repair,Computer store,Computer store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 99055 87090,N/A,4.1,22.0,"Tapkhas, near Bazaar School, Main, Latehar, Jharkhand 829206","Main, Amwatikar",23.745234999999997,84.50424,ChIJGzm09hZsizkRvesl80h6F_s,https://www.google.com/maps/place/?q=place_id:ChIJGzm09hZsizkRvesl80h6F_s,part_390,2026-09-20 20:31:26
India Telecom (ग्राहक सेवा केंद्र),Computer Sales and Laptop Repair,Electronics store,Electronics store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 70040 53826,https://www.youtube.com/channel/UCm-WrzT_HifmwPXl1f-KJWw,4.3,10.0,"Maina Bagicha, road, Nadiya, Lohardaga, Jharkhand 835302",Nadiya,23.4432627,84.6966297,ChIJJ06ArUclizkRgJoHOldeCiM,https://www.google.com/maps/place/?q=place_id:ChIJJ06ArUclizkRgJoHOldeCiM,part_390,2026-09-20 20:31:26
