business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Agrawal Sanitation - Since 2002,Sanitaryware and Bathroom Fittings,Building materials store,"Building materials store, Granite supplier, Tile store",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 85390 73975,https://www.facebook.com/agrawalsanitation2002/,4.8,5.0,"Gramin Bank, opp. Jharkhand, near Reliance Petrol Pump, Basarbari, Lohardaga, Jharkhand 835302",Basarbari,23.428126499999998,84.6803125,ChIJ_TIOqvcjizkRWLi_bDanrUw,https://www.google.com/maps/place/?q=place_id:ChIJ_TIOqvcjizkRWLi_bDanrUw,part_390,2026-09-20 20:31:10
"H & R Johnson - BS College Road, Lohardaga",Sanitaryware and Bathroom Fittings,Tile store,Tile store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 80 3722 1194,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-lohardaga/tiles-shop-in-parcjodi/h-r-johnson-radha-marble-sanitary-in-parcjodi-lohardaga--3d07cz/home,4.0,1.0,"Radha Marble & Sanitary Collage Road, BS College Rd, opposite Lalit Narayan Stadium, Garha Toli, Lohardaga, Jharkhand 835302",Garha Toli,23.4276293,84.6838338,ChIJz1kob7AjizkRakMGnkwi1yw,https://www.google.com/maps/place/?q=place_id:ChIJz1kob7AjizkRakMGnkwi1yw,part_390,2026-09-20 20:31:10
RAJ HARDWARE AND SANITARY,Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 93045 03917,https://www.solution-point.in/,5.0,13.0,"Shop No. 4, Bada Talab Nagar Parishad Market, Lohardaga, Jharkhand 835302",835302,23.438091399999998,84.6826506,ChIJD2KkKwAjizkRJ3S22taNacw,https://www.google.com/maps/place/?q=place_id:ChIJD2KkKwAjizkRJ3S22taNacw,part_390,2026-09-20 20:31:10
S.K Sanitary Marble/Tiles,Sanitaryware and Bathroom Fittings,Home goods store,Home goods store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,N/A,5.0,,"PGV6+V4J Kali Temple, Chandandih, Latehar, Jharkhand 829206",Chandandih,23.744710899999998,84.51026519999999,ChIJUfn_nBFsizkRqljJMInx8rg,https://www.google.com/maps/place/?q=place_id:ChIJUfn_nBFsizkRqljJMInx8rg,part_390,2026-09-20 20:31:11
Shree Shyam Marble & Sanitary,Sanitaryware and Bathroom Fittings,Building materials supplier,Building materials supplier,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,https://agrawalsanitation.in/,,,"College Road, Barwatoli, Lohardaga, Jharkhand 835302",835302,23.4272642,84.6845319,ChIJfwqXl2cjizkREgYksFv8T-U,https://www.google.com/maps/place/?q=place_id:ChIJfwqXl2cjizkREgYksFv8T-U,part_390,2026-09-20 20:31:11
ESSCO Authorised Dealer - Vivek Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 80 3722 0728,https://dealers.esscobathware.com/essco-bathware/hazaribag/Kumhar-Toli/essco-authorised-dealer-vivek-enterprises-in-Kumhar-Toli-hazaribag--35fn9X/home,4.5,23.0,"No 29, Jain House, nearby SBI ATM, KumharToli, Hazaribagh, Jharkhand 825301",KumharToli,23.988812199999998,85.346586,ChIJBWSAva-e9DkRAzfuW7P7XD8,https://www.google.com/maps/place/?q=place_id:ChIJBWSAva-e9DkRAzfuW7P7XD8,part_390,2026-09-20 20:31:12
Balaji Traders,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 98319 26535,N/A,4.9,548.0,"Building No P122b, CIT Rd, beside Malabar Gold, Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi",22.5769357,88.39026199999999,ChIJiST9NGV2AjoR2DF1WQVPtnQ,https://www.google.com/maps/place/?q=place_id:ChIJiST9NGV2AjoR2DF1WQVPtnQ,part_390,2026-09-20 20:31:13
Jharkhand Tiles & Hardware,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Granite supplier, Gypsum Product Supplier, Paint store",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,N/A,3.0,2.0,"Madarsa Chowk, Main Road, Chanho, Balsokra, Jharkhand 835213",Chanho,23.5322989,84.925489,ChIJ1S63_m8zizkRFIFEEQraBuY,https://www.google.com/maps/place/?q=place_id:ChIJ1S63_m8zizkRFIFEEQraBuY,part_390,2026-09-20 20:31:13
Kajaria Tiles Authorised Showroom - S.K Sanitary,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",+91 82102 75107,https://dealers.kajariaceramics.com/kajaria-tiles-in-jharkhand-latehar-vill-amwatikar-67468,,,"Khata No -14, Plot No -562, Po, Vill, Amwatikar, Latehar, Jharkhand 829206","Vill, Amwatikar",23.744999999999997,84.51019,ChIJ7_sP2J1tizkREgEW0UY-2vQ,https://www.google.com/maps/place/?q=place_id:ChIJ7_sP2J1tizkREgEW0UY-2vQ,part_390,2026-09-20 20:31:13
Bell Sanitary Wares,Sanitaryware and Bathroom Fittings,Sanitary ware manufacturer and supplier,Sanitary ware manufacturer and supplier,835302,Jharkhand Circle,Ranchi Region,Ranchi Division,"Lohardaga SO, Arkosa BO, Arru BO",N/A,https://www.bellsanitary.com/,4.2,91.0,"8A National Highway, Jambudiya, Gujarat 363642",Rafaleshwar,22.786508599999998,70.90250019999999,ChIJ9Q7-bOONWTkRa6rla3EXOU8,https://www.google.com/maps/place/?q=place_id:ChIJ9Q7-bOONWTkRa6rla3EXOU8,part_390,2026-09-20 20:31:13
