business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deepak kirana store,Kirana Store,Grocery store,Grocery store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,5.0,,"86H3+V9J, Tikratoli, Jharkhand 835303",835303,23.3297164,85.2033849,ChIJLeitGt_f9DkRWnTAu1ZAt4c,https://www.google.com/maps/place/?q=place_id:ChIJLeitGt_f9DkRWnTAu1ZAt4c,part_390,2026-09-20 20:31:40
Tarique Kirana store,Kirana Store,Grocery store,"Grocery store, General store",835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",+91 74889 33971,N/A,2.5,,"Tarique, Jamiya School Gali, Nayasarai, Jagarnathpur, Ranchi, Jharkhand 835303",Nayasarai,23.343322,85.24157389999999,ChIJIYUMMJLf9DkRNdGT0TIQYUk,https://www.google.com/maps/place/?q=place_id:ChIJIYUMMJLf9DkRNdGT0TIQYUk,part_390,2026-09-20 20:31:40
Iqra Kirana Store,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",+91 87891 19072,N/A,5.0,,"Nagri, Ranchi, Nagri, Jharkhand 835303",Nagri,23.3235794,85.1868164,ChIJUbWRQF7Z9DkRPR3CedZ1bNI,https://www.google.com/maps/place/?q=place_id:ChIJUbWRQF7Z9DkRPR3CedZ1bNI,part_390,2026-09-20 20:31:40
Birsa General Store,Kirana Store,Indian grocery store,Indian grocery store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,4.3,,"8759+Q3P, Adarsh Nagar, Ranchi, Jharkhand 834004",Adarsh Nagar,23.309465799999998,85.26769259999999,ChIJD3OYyAAg9TkRXN82DDKwJTY,https://www.google.com/maps/place/?q=place_id:ChIJD3OYyAAg9TkRXN82DDKwJTY,part_390,2026-09-20 20:31:40
Hari om kirana store,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,,,"Bandhtoli, Ranchi, Naro, Jharkhand 835303",Bandhtoli,23.3234083,85.19913299999999,ChIJk09ySgDf9DkRxbgaA6Zcf1w,https://www.google.com/maps/place/?q=place_id:ChIJk09ySgDf9DkRxbgaA6Zcf1w,part_390,2026-09-20 20:31:40
Aman Kirana Store,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",+91 80515 77184,N/A,,,"Bero Rd, near Pani Tanki, Palma, Kurgi, Jharkhand 835303",835303,23.318078399999997,85.0976756,ChIJ1Z9UE1rX9DkRqnzDEQ_jihM,https://www.google.com/maps/place/?q=place_id:ChIJ1Z9UE1rX9DkRqnzDEQ_jihM,part_390,2026-09-20 20:31:40
Dayal babu kirana store,Kirana Store,Store,Store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,,,"86VG+JQP, Saparom, Jharkhand 835303",835303,23.3440883,85.22695809999999,ChIJIXy1FgDf9DkRzKbol-G0A-U,https://www.google.com/maps/place/?q=place_id:ChIJIXy1FgDf9DkRzKbol-G0A-U,part_390,2026-09-20 20:31:40
MAHTO GENERAL STORE,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,5.0,,"01, Manokamana Manokamana Nagar, Nagri, Tikratoli, Jharkhand 835303",Manokamana Manokamana Nagar,23.3357323,85.20735479999999,ChIJO4BnCrLf9DkR49UCENiAxIc,https://www.google.com/maps/place/?q=place_id:ChIJO4BnCrLf9DkR49UCENiAxIc,part_390,2026-09-20 20:31:40
Irshad general Store,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,3.3,,"Saparom, Ranchi, Jharkhand 835303",835303,23.3454844,85.2285704,ChIJMS25Xgff9DkR9F7WpCq7liE,https://www.google.com/maps/place/?q=place_id:ChIJMS25Xgff9DkR9F7WpCq7liE,part_390,2026-09-20 20:31:40
Tanishq Kirana Store,Kirana Store,General store,General store,835303,Jharkhand Circle,Ranchi Region,Ranchi Division,"Piskanagri SO, Barsa BO, Bindhani BO",N/A,N/A,,,"858P+MG7, Nagri Panchinga, Lodhma Rd, Jharkhand 835303",835303,23.3166545,85.1862838,ChIJ2xiHEeDZ9DkRx5WcEoFtEjY,https://www.google.com/maps/place/?q=place_id:ChIJ2xiHEeDZ9DkRx5WcEoFtEjY,part_390,2026-09-20 20:31:40
