business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kidney dialysis care Chandra nursing home,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 79887 81452,N/A,4.9,55.0,"Chandra nursing home Subash chowk, Bihar 844101",841101,25.692435399999997,85.20832399999999,ChIJvz6a0CBd7TkRE6h_tWDsa-s,https://www.google.com/maps/place/?q=place_id:ChIJvz6a0CBd7TkRE6h_tWDsa-s,part_390,2026-09-20 20:33:40
CAREWELL KIDNEY CENTER,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,5.0,4.0,"Marai Rd, Shahi colony, Hajipur, Bihar 844101",Shahi colony,25.6914254,85.2166913,ChIJGb38_Ptd7TkRaQhKQvp4OYI,https://www.google.com/maps/place/?q=place_id:ChIJGb38_Ptd7TkRaQhKQvp4OYI,part_390,2026-09-20 20:33:40
Aadarsh Dialysis Center,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,4.0,,"Aadarsh emergency and truma hospital, Hajipur, Bihar 844101",841101,25.6942696,85.2206841,ChIJcSeDgDBc7TkR-xrBq0OhzNk,https://www.google.com/maps/place/?q=place_id:ChIJcSeDgDBc7TkR-xrBq0OhzNk,part_390,2026-09-20 20:33:40
Baijnath hemodialysis center Dr vinod kumar singh nephrologist,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 82711 98176,N/A,5.0,1.0,"Makhania Kuan, Lalbagh, Patna, Bihar 800004","Makhania Kuan, Lalbagh",25.6169461,85.16099,ChIJ3UejYwBZ7TkReKZpF0NvL1w,https://www.google.com/maps/place/?q=place_id:ChIJ3UejYwBZ7TkReKZpF0NvL1w,part_390,2026-09-20 20:33:40
Ram Dialysis Hajipur,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,5.0,4.0,"1001, Anwarpur, Mishra Colony, Hajipur, Bihar 844101","Anwarpur, Mishra Colony",25.698227499999998,85.21542579999999,ChIJ6SKIupdd7TkRAZIp-XG9mag,https://www.google.com/maps/place/?q=place_id:ChIJ6SKIupdd7TkRAZIp-XG9mag,part_390,2026-09-20 20:33:40
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Dialysis center,"Dialysis center, Hospital",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 97083 45497,https://www.nephroplus.com/,3.2,,"Ford Hospital, New Bypass (NH-30) , Khemnichak PO - New, PS, Jaganpura, Ramkrishan Nagar, Patna, Bihar 800030","Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar",25.584498999999997,85.16307669999999,ChIJMZ3T5Z1Y7TkRmSD4Yaaibnw,https://www.google.com/maps/place/?q=place_id:ChIJMZ3T5Z1Y7TkRmSD4Yaaibnw,part_390,2026-09-20 20:33:40
"DIALYSIS CENTER , KANKARBAG PATNA",Dialysis Center,Dialysis center,"Dialysis center, Hospital",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 72773 35686,N/A,5.0,,"2B, Rd Number 14, New Colony, Mahatma Gandhi Nagar, Lohia Nagar, Patna, Bihar 800020","New Colony, Mahatma Gandhi Nagar, Lohia Nagar",25.6016005,85.1674312,ChIJIdSDoPJY7TkRJN4bj4_l29E,https://www.google.com/maps/place/?q=place_id:ChIJIdSDoPJY7TkRJN4bj4_l29E,part_390,2026-09-20 20:33:40
Buddha Hospital & Dialysis Centre,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,5.0,,"M6R3+9R2, :, stetas, Hajipur, Bihar 844101",841101,25.690873699999997,85.2044921,ChIJVXjAAgBd7TkRCSJIlvL7hmw,https://www.google.com/maps/place/?q=place_id:ChIJVXjAAgBd7TkRCSJIlvL7hmw,part_390,2026-09-20 20:33:40
SIDDHI DIALYSIS CENTER,Dialysis Center,Doctor,Doctor,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,https://www.siddhidialysiscenter.com/,5.0,,"Sri Durga multi specialist hospital, SDO Rd, Hajipur, Bihar 844101",841101,25.690569,85.2018169,ChIJd_XACPNd7TkRxC7rNcp40TQ,https://www.google.com/maps/place/?q=place_id:ChIJd_XACPNd7TkRxC7rNcp40TQ,part_390,2026-09-20 20:33:40
Satyam Dialysis Unit,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 91625 43151,N/A,3.8,6.0,"Avi Nursing Home, 181B, Children's Park Rd, near Children Park, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.612796799999998,85.1143853,ChIJ46F29SRY7TkRyoG6d9HwCYg,https://www.google.com/maps/place/?q=place_id:ChIJ46F29SRY7TkRyoG6d9HwCYg,part_390,2026-09-20 20:33:40
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 91547 96826,https://www.nephroplus.com/,,,"Sadar Hospital, C/o, Hospital Road, Hajipur, Bihar 844128",841101,25.690248699999998,85.20810349999999,ChIJLRiOwXFd7TkRHcJ1gazcqGw,https://www.google.com/maps/place/?q=place_id:ChIJLRiOwXFd7TkRHcJ1gazcqGw,part_390,2026-09-20 20:33:40
GLOBAL HOSPITAL &DIALYSIS CENTRE,Dialysis Center,Dialysis center,"Dialysis center, Hospital",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 90831 11222,N/A,5.0,,"Jauhari Bazar, near Honahar public school, Hajipur, Bihar 844101",841101,25.6917333,85.2027603,ChIJVZRioLBd7TkR_FrUIutWCoo,https://www.google.com/maps/place/?q=place_id:ChIJVZRioLBd7TkR_FrUIutWCoo,part_390,2026-09-20 20:33:40
Diabeto-nephro hospital and dialysis center,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,,,"E-122, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.6163046,85.11187579999999,ChIJaRDPJgBZ7TkR31gZukAQ7qM,https://www.google.com/maps/place/?q=place_id:ChIJaRDPJgBZ7TkR31gZukAQ7qM,part_390,2026-09-20 20:33:40
Dialysis Unit,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 93941 97078,N/A,,,"J55F+HG5 Ramratan Hospital, Rampur Ln, near Bazar Samiti, Musallahpur Hat, Bazar Samiti, Bahadurpur, Patna, Bihar 800006","Musallahpur Hat, Bazar Samiti, Bahadurpur",25.6088789,85.1738699,ChIJXXq0NMdY7TkRMOy9_6sPlU8,https://www.google.com/maps/place/?q=place_id:ChIJXXq0NMdY7TkRMOy9_6sPlU8,part_390,2026-09-20 20:33:40
Dialysis king,Dialysis Center,Hospital,Hospital,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",N/A,N/A,4.3,,"Old Coffee House Rd, Sabzibagh, Bakarganj, Patna, Bihar 800004","Sabzibagh, Bakarganj",25.6188063,85.1548636,ChIJcyLH0qVZ7TkRlyN8zWjz4aU,https://www.google.com/maps/place/?q=place_id:ChIJcyLH0qVZ7TkRlyN8zWjz4aU,part_390,2026-09-20 20:33:40
Raayan dialysis center ara,Dialysis Center,Dialysis center,Dialysis center,841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 82928 69685,N/A,5.0,3.0,"Judge Kothi, More, Old Police Line, Arrah, Bihar 802301",Old Police Line,25.5593401,84.6599478,ChIJPwpAcABfjTkRvcGYkuGjxk4,https://www.google.com/maps/place/?q=place_id:ChIJPwpAcABfjTkRvcGYkuGjxk4,part_390,2026-09-20 20:33:40
Nephro Health Services LLP ( Hemo Dialysis),Dialysis Center,Dialysis center,"Dialysis center, Nephrologist",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 95997 00279,http://www.nephrohealth.com/,,,"54, Surya Apartment, Fraser Road, Patna, Bihar 800001",Fraser Road Area,25.6079856,85.1397728,ChIJVVXZDl1Y7TkRt79a-f7tuXs,https://www.google.com/maps/place/?q=place_id:ChIJVVXZDl1Y7TkRt79a-f7tuXs,part_390,2026-09-20 20:33:40
