business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Singh Glass-N-Ply House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminium Supplier, Lumber store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 90066 46535,N/A,4.9,,"7, Narain Plaza, Exhibition Rd, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.608278199999997,85.14163669999999,ChIJocQ4yF1Y7TkRqo3qFPi3PSE,https://www.google.com/maps/place/?q=place_id:ChIJocQ4yF1Y7TkRqo3qFPi3PSE,part_390,2026-09-20 20:33:47
Gautam Plys & Glass Center,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Lumber store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 99342 28753,N/A,4.3,,"Ashiana - Digha Rd, Sankar Colony, Dhiga, Rukanpura, Patna, Bihar 800025","Sankar Colony, Dhiga, Rukanpura",25.6228584,85.083468,ChIJ4Tb8RWN-DRQRbDZx2CZj6GM,https://www.google.com/maps/place/?q=place_id:ChIJ4Tb8RWN-DRQRbDZx2CZj6GM,part_390,2026-09-20 20:33:47
New Jyoti Glass & Ply,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Lumber store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 95079 76126,N/A,5.0,,"Kangkar Bagh Road, near Magadh Vishwavidyalaya, Mahatma Gandhi Nagar, Chitragupta Nagar, Patna, Bihar 800020","Mahatma Gandhi Nagar, Chitragupta Nagar",25.602253599999997,85.1594509,ChIJg263apJY7TkR_dgRlZ0hBec,https://www.google.com/maps/place/?q=place_id:ChIJg263apJY7TkR_dgRlZ0hBec,part_390,2026-09-20 20:33:47
Rohit Glass,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Lumber store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 93340 68290,N/A,4.1,,"Malahi Pakdi Chowk, Kankarbagh Main Rd, Kankarbagh, Hanuman Nagar, Patna, Bihar 800020","Kankarbagh, Hanuman Nagar",25.5932709,85.157392,ChIJI0WnOIVY7TkR_w1jW598t8M,https://www.google.com/maps/place/?q=place_id:ChIJI0WnOIVY7TkR_w1jW598t8M,part_390,2026-09-20 20:33:47
Assam Ply & Glass Hardware,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Plywood supplier, Hardware store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 94314 30681,N/A,4.4,,"4H/47, BH Colony, Mahatma Gandhi Nagar, Kankarbagh, Patna, Bihar 800026","BH Colony, Mahatma Gandhi Nagar, Kankarbagh",25.5934523,85.1741255,ChIJZRmnnqRY7TkRPEmWYgclEbc,https://www.google.com/maps/place/?q=place_id:ChIJZRmnnqRY7TkRPEmWYgclEbc,part_390,2026-09-20 20:33:47
Tara Glass House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Hardware store, Lumber store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 98350 80814,N/A,5.0,,"J3HX+J8M, Indrapuri, Keshri Nagar, Patna, Bihar 800024","Indrapuri, Keshri Nagar",25.6290791,85.0982959,ChIJPQy_wHd-DRQRonCwpb4ahAU,https://www.google.com/maps/place/?q=place_id:ChIJPQy_wHd-DRQRonCwpb4ahAU,part_390,2026-09-20 20:33:47
Modern Aluminium & Glass,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Lumber store, Hardware store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 99050 51591,N/A,5.0,,"Mig 65, Main Rd, Kankarbagh Colony More, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Kankarbagh Colony More, Kankarbagh, Lohia Nagar",25.5909914,85.1457847,ChIJy1MbAGJY7TkRXUaLE9T8wDk,https://www.google.com/maps/place/?q=place_id:ChIJy1MbAGJY7TkRXUaLE9T8wDk,part_390,2026-09-20 20:33:47
Baba Glass Interior Solutions,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Bathroom supply store, Door supplier, Furniture Manufacturer, Plywood supplier, Hardware store, Home improvement store, Interior designer, PVC windows supplier, Window supplier",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 74883 58688,https://www.babaglass.co.in/,4.8,,"Saguna Khagaul Rd, opposite Aqua Water Park, Mustafapur, Patna, Bihar 801105",Mustafapur,25.604755599999997,85.0420274,ChIJS71rDM5X7TkR9yCWum_d_2A,https://www.google.com/maps/place/?q=place_id:ChIJS71rDM5X7TkR9yCWum_d_2A,part_390,2026-09-20 20:33:47
Tirupati Glass House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminum window, Digital printing service, Glass merchant, Glass cutting service, Glass etching service, Glass repair service, Glassware wholesaler, Hardware store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 94288 71783,https://tirupatiglasshouse.com/,4.8,,"Takshshila appartment shop no. 6\7 ,B\h. old varachha zone office khodiyar Nagar Main Road, varchha road, Varachha, Surat, Gujarat 395006","Bhatni Wadi, Kamal Baug Society, Varachha",21.2139433,72.8535796,ChIJwaVWMh1P4DsRdhoPgjlhEdo,https://www.google.com/maps/place/?q=place_id:ChIJwaVWMh1P4DsRdhoPgjlhEdo,part_390,2026-09-20 20:33:47
STAR GLASS & ART WORK,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass shop, Glass cutting service, Glass etching service, Glasses repair service",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 70080 35103,N/A,4.9,,"Basuaghai, Cuttack - Puri Bypass Rd, near Sai mandir traffic chhak, Bhubaneswar, Odisha 751002",Baragarh,20.238134499999997,85.86040589999999,ChIJ10mpyj-nGToRxf-FABBQii4,https://www.google.com/maps/place/?q=place_id:ChIJ10mpyj-nGToRxf-FABBQii4,part_390,2026-09-20 20:33:47
Durga Ply & Glass House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Lumber store, Hardware store",841101,Bihar Circle,Muzaffarpur Region,Saran Division,"Sonepur SO Saran, Baijalpur Keso BO, Barua BO",+91 90974 67836,N/A,5.0,,"H3MW+5M7, Bypass Rd, opp. Sicayi Office, Anisabad, Patna, Bihar 800002",Anisabad,25.582918,85.0966849,ChIJ1YCEMP1X7TkR62uzVp74JnY,https://www.google.com/maps/place/?q=place_id:ChIJ1YCEMP1X7TkR62uzVp74JnY,part_390,2026-09-20 20:33:47
