business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EOSS DOORS AND WINDOWS GALLERY_THE WIND,Roofing Sheet Supplier,Aluminum window,"Aluminum window, Aluminium Supplier, Aluminum frames supplier, Door supplier",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 91550 97176,https://www.instagram.com/thewindsiwan/?hl=en,4.9,,"STATION MORE, Bihar 841226",Siswan Tola,26.2115106,84.3621357,ChIJPSMK7_H7kjkR3BR2BPoQGDE,https://www.google.com/maps/place/?q=place_id:ChIJPSMK7_H7kjkR3BR2BPoQGDE,part_390,2026-09-20 20:36:18
Gupta & Sons,Roofing Sheet Supplier,Door supplier,"Door supplier, PVC windows supplier",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 99397 87587,N/A,4.5,,"Babunia Rd, near style bazar, Kagzi Muhalla, Siwan, Bihar 841226",Kagzi Muhalla,26.2236749,84.3614991,ChIJLxHf-QT8kjkRG_5iycOtP08,https://www.google.com/maps/place/?q=place_id:ChIJLxHf-QT8kjkRG_5iycOtP08,part_390,2026-09-20 20:36:18
Omkar aluminium work shop siwan,Roofing Sheet Supplier,Manufacturer,"Manufacturer, Aluminum window",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 74881 29830,http://siwan.com/,5.0,,"Naya quila, Professor Colony, patwa toli, Naya Quilla, Siwan, Bihar 841226","Professor Colony, patwa toli, Naya Quilla",26.2191567,84.3553463,ChIJcQ9hfQD9kjkRmFGX8391a-g,https://www.google.com/maps/place/?q=place_id:ChIJcQ9hfQD9kjkRmFGX8391a-g,part_390,2026-09-20 20:36:18
Radha Trading Company,Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Building materials supplier, Metal supplier, Pipes Wholesaler, Steel industry, Roofing supply store, Steel construction company, Steel distributor, Truss manufacturer",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 97490 13813,http://radhatradingcompany.in/,4.6,,"3rd Mile, Radha Trading Company, Sevoke Rd, opposite Sona Petrol Pump, beside Cindrella Hotel, Chayan Para, Salugara, Siliguri, West Bengal 734008","Chayan Para, Salugara",26.756017099999998,88.4415415,ChIJ_Rn3HN1B5DkRbWjWWFaY7Tk,https://www.google.com/maps/place/?q=place_id:ChIJ_Rn3HN1B5DkRbWjWWFaY7Tk,part_390,2026-09-20 20:36:18
The Radhasoami steel,Roofing Sheet Supplier,Building materials store,Building materials store,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 79923 67264,N/A,5.0,,"S.K.G Sugar Mill Bypass Rd, Siswan Tola, Siwan, Bihar 841227",Siswan Tola,26.2126549,84.3792745,ChIJ0Wb_Fdn7kjkRhIhKRAM6WAg,https://www.google.com/maps/place/?q=place_id:ChIJ0Wb_Fdn7kjkRhIhKRAM6WAg,part_390,2026-09-20 20:36:18
MK Aluminium Enterprises,Roofing Sheet Supplier,Home builder,Home builder,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 79033 45559,N/A,5.0,,"Paswan chowk, Siwan, Baisakhi, Bihar 841227",841203,26.210424399999997,84.3890528,ChIJXbceUub7kjkRm7-PQC_IOWI,https://www.google.com/maps/place/?q=place_id:ChIJXbceUub7kjkRm7-PQC_IOWI,part_390,2026-09-20 20:36:18
Akash Steel,Roofing Sheet Supplier,Building materials supplier,"Building materials supplier, Iron & Steel Store",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 89861 28551,N/A,5.0,,"Durga Mandir, Road, Fathepur, Siwan, Bihar 841226",Fathepur,26.2249387,84.36266619999999,ChIJW81sGAX8kjkRZq84uko_pJE,https://www.google.com/maps/place/?q=place_id:ChIJW81sGAX8kjkRZq84uko_pJE,part_390,2026-09-20 20:36:18
PANDIT STEEL,Roofing Sheet Supplier,Building materials supplier,Building materials supplier,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",N/A,N/A,4.4,,"Infront Of Ganga Nurseries, NH-28, Sadhu chowak, Gopalganj, Bihar 841428",841203,26.4717384,84.44830209999999,ChIJg3N5tsgakzkRtfaj2ZvwNKU,https://www.google.com/maps/place/?q=place_id:ChIJg3N5tsgakzkRtfaj2ZvwNKU,part_390,2026-09-20 20:36:18
Northern India Steels,Roofing Sheet Supplier,Steel distributor,Steel distributor,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 98392 66949,http://www.northernindiasteels.in/,5.0,,"5, 285, Mill Rd, Aishbagh, Lucknow, Uttar Pradesh 226004",Aishbagh,26.837894,80.8979943,ChIJvxppQ3_-mzkRCyeIfagcV1M,https://www.google.com/maps/place/?q=place_id:ChIJvxppQ3_-mzkRCyeIfagcV1M,part_390,2026-09-20 20:36:18
Sim Enterprises,Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Manufacturer, Metal supplier, Roofing supply store, Steel construction company, Steel distributor, Steel fabricator",841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 120 524 4331,https://www.simenterprises.in/,4.9,,"Unit No. 08, Janta Market, Ghatkopar - Mankhurd Link Rd, Govandi Slums, ACC Nagar, Chedda Nagar, Mumbai, Maharashtra 400043","Govandi Slums, ACC Nagar, Chedda Nagar",19.0617625,72.9172935,ChIJRaBvoxbG5zsRSxycDOIlw3A,https://www.google.com/maps/place/?q=place_id:ChIJRaBvoxbG5zsRSxycDOIlw3A,part_390,2026-09-20 20:36:19
