business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Premchand Engineering Works,Welding and Lathe Works,Machine workshop,Machine workshop,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",N/A,N/A,5.0,3.0,"Chhapra Road, Siwan Near JAIN Sweets , Front Of V_Mart, Siwan, Bihar 841226",Fathepur,26.222648,84.3641956,ChIJMRMXcXv9kjkRY4yPwgLMu1o,https://www.google.com/maps/place/?q=place_id:ChIJMRMXcXv9kjkRY4yPwgLMu1o,part_390,2026-09-20 20:36:34
Vishwakarma Welding Works,Welding and Lathe Works,Welder,Welder,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 93045 46341,N/A,,,"Chhapra Siwan Rd, , Saraut, Siswan, Gangapur Siswan, Bihar 841210",841203,25.950535,84.3993732,ChIJbx5OCgDzkjkRAoOEDTFnYVs,https://www.google.com/maps/place/?q=place_id:ChIJbx5OCgDzkjkRAoOEDTFnYVs,part_390,2026-09-20 20:36:34
Shiv Shakti Engineering Works & Line Hotel,Welding and Lathe Works,Welding supply store,Welding supply store,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 62066 16400,N/A,3.0,2.0,"Baisakhi Tarwara Road, NH 227A, New Bypass, Siwan, Bihar 841227",New Bypass,26.2185977,84.3915049,ChIJ-827fWP9kjkRdSZ_1DpP8uk,https://www.google.com/maps/place/?q=place_id:ChIJ-827fWP9kjkRdSZ_1DpP8uk,part_390,2026-09-20 20:36:34
Baba Engeneering Welding Work Shop,Welding and Lathe Works,Hardware store,Hardware store,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 82946 60831,N/A,1.0,1.0,"Siwan, Atarsua, Bihar 841226",841203,26.2176826,84.37167769999999,ChIJ12bq05b9kjkR_wdxgjKrW4E,https://www.google.com/maps/place/?q=place_id:ChIJ12bq05b9kjkR_wdxgjKrW4E,part_390,2026-09-20 20:36:34
Dharmendra kumar Rajbhar,Welding and Lathe Works,Welder,Welder,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",N/A,N/A,5.0,1.0,"65WM+86G, Sewatapur, Bihar 841239",841203,26.2458131,84.183075,ChIJp5b-40pTkjkREBkxZn94gLA,https://www.google.com/maps/place/?q=place_id:ChIJp5b-40pTkjkREBkxZn94gLA,part_390,2026-09-20 20:36:34
VIKASH ENGINEERING WORK SHOP,Welding and Lathe Works,Business to business service,Business to business service,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 72090 51297,N/A,3.0,2.0,"Tadwa, 7932 32H, Siwan, Bihar 841436",841203,26.2526792,84.3500861,ChIJw7ez9jj_kjkRlM23pO6CPKU,https://www.google.com/maps/place/?q=place_id:ChIJw7ez9jj_kjkRlM23pO6CPKU,part_390,2026-09-20 20:36:34
Manoj Sharma Engineering Workshop,Welding and Lathe Works,Machine workshop,Machine workshop,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",N/A,N/A,5.0,,"Fathepur, Siwan, Bihar 841226",Fathepur,26.2225073,84.3635678,ChIJo_rFmXf9kjkRLnsQI9xaIiM,https://www.google.com/maps/place/?q=place_id:ChIJo_rFmXf9kjkRLnsQI9xaIiM,part_390,2026-09-20 20:36:35
श्री उदय नाथ वेल्डिंग वर्क्सप शिवनगरी अमाव,Welding and Lathe Works,Welding supply store,Welding supply store,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 97719 62304,N/A,5.0,,"Bhabhua - Chainpur - Chand - Dharuali Rd, Amawan, Khargawa, Bihar 821106",841203,25.075370799999998,83.4530903,ChIJN4IRGvJzjjkRCt8vVaF_e2I,https://www.google.com/maps/place/?q=place_id:ChIJN4IRGvJzjjkRCt8vVaF_e2I,part_390,2026-09-20 20:36:35
R.K.WELDING&FABRICATION WORKSHOP,Welding and Lathe Works,Manufacturer,Manufacturer,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 99314 80134,N/A,4.6,,"Sabuni bhawal Road, Sabuni Road, Ramnagar, Bihar 845106",841203,27.1677839,84.3203273,ChIJVUOwpl6HlDkRmc8Wvb2vtgg,https://www.google.com/maps/place/?q=place_id:ChIJVUOwpl6HlDkRmc8Wvb2vtgg,part_390,2026-09-20 20:36:35
M/S. Shri Bala Sundri Eng.works,Welding and Lathe Works,Welding supply store,Welding supply store,841203,Bihar Circle,Muzaffarpur Region,Siwan Division,"Chainpur SO Siwan, Ansar BO, Bakhari BO",+91 74042 27200,N/A,5.0,,"SH 11, Siwan, Haryana 136033",841203,29.892885,76.3559933,ChIJJyuoyATcETkRJKYNCEK1CaM,https://www.google.com/maps/place/?q=place_id:ChIJJyuoyATcETkRJKYNCEK1CaM,part_390,2026-09-20 20:36:35
