business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Biswanath Market Complex,Exhibitions,Community center,"Community center, Shopping mall",841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,4.9,8.0,"Ekma - Parsa Rd, Ekma, Bihar 841208",841204,25.968742799999998,84.5370104,ChIJcd58jhLrkjkRKoyGqjcKBto,https://www.google.com/maps/place/?q=place_id:ChIJcd58jhLrkjkRKoyGqjcKBto,part_390,2026-09-20 20:37:25
Samudayk Bhawan And Kisan Bhawan Yogia Ekma Saran Bihar,Exhibitions,Community center,Community center,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,4.4,8.0,"XFXJ+MXM, Chainpur - Rasulpur Rd, Asahani, Bihar 841212",841204,25.999221199999997,84.4824258,ChIJ3-JtRF7tkjkRD7BaKNlG_mE,https://www.google.com/maps/place/?q=place_id:ChIJ3-JtRF7tkjkRD7BaKNlG_mE,part_390,2026-09-20 20:37:25
Bhumiyar meeting centre,Exhibitions,Community center,Community center,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,3.0,2.0,"2F7H+CMV, Saran, Chapra, Bihar 841204",Saran,26.0136045,84.4791596,ChIJ7SbZlwjtkjkR7242wd7jMxc,https://www.google.com/maps/place/?q=place_id:ChIJ7SbZlwjtkjkR7242wd7jMxc,part_390,2026-09-20 20:37:25
श्री नाथ बाबा द्वार ग्राम भुइली,Exhibitions,Historical place museum,Historical place museum,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,4.1,,"XGHR+5CC भुइली near Nahar, परसा मार्ग, Ekma, Husepur, Bihar 841208",841204,25.9779448,84.54102,ChIJv_dUMTnrkjkROJ8wRsB9Cck,https://www.google.com/maps/place/?q=place_id:ChIJv_dUMTnrkjkROJ8wRsB9Cck,part_390,2026-09-20 20:37:26
Ekamdivya Producer company limited,Exhibitions,Community center,Community center,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,5.0,,"2HC7+C39, Bhodsa, Bihar 841220",841204,26.0210333,84.56274959999999,ChIJKYqcewDrkjkR0HD0KUK1WDk,https://www.google.com/maps/place/?q=place_id:ChIJKYqcewDrkjkR0HD0KUK1WDk,part_390,2026-09-20 20:37:26
Mera pyara sa ghar,Exhibitions,Museum,Museum,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,5.0,,"XGQ9+Q5, Bansi Chhapra, Bihar 841204",841204,25.990148899999998,84.51847459999999,ChIJN7gkfgDtkjkR8ppi9jlGzrg,https://www.google.com/maps/place/?q=place_id:ChIJN7gkfgDtkjkR8ppi9jlGzrg,part_390,2026-09-20 20:37:26
Chandan Shah Peer,Exhibitions,Museum,Museum,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,5.0,,"2GPC+2JC, Chanchaura, Dibi, Bihar 841204",841204,26.035070299999997,84.5215139,ChIJRST5lEnvkjkRGsV_9OVIQsU,https://www.google.com/maps/place/?q=place_id:ChIJRST5lEnvkjkRGsV_9OVIQsU,part_390,2026-09-20 20:37:26
Playing Garden,Exhibitions,Art museum,Art museum,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,,,"XGPP+X6Q, Karanpura, Rith, Bihar 841208",841204,25.9874606,84.5355989,ChIJu8f9v3frkjkR-fIDCl1T5Us,https://www.google.com/maps/place/?q=place_id:ChIJu8f9v3frkjkR-fIDCl1T5Us,part_390,2026-09-20 20:37:26
Sajidhussain,Exhibitions,Museum,Museum,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,,,"2G23+72F, Rasul Pur, Bihar 841204",841204,26.0006986,84.50255469999999,ChIJ55feuI3tkjkRPNu08hnDpHI,https://www.google.com/maps/place/?q=place_id:ChIJ55feuI3tkjkRPNu08hnDpHI,part_390,2026-09-20 20:37:26
श्री रामानंद मिश्रा,Exhibitions,Community center,Community center,841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,,,"2G23+72F, Rasul Pur, Bihar 841204",841204,26.0006986,84.50255469999999,ChIJj6yeeADtkjkRtBblMtTQHaQ,https://www.google.com/maps/place/?q=place_id:ChIJj6yeeADtkjkRtBblMtTQHaQ,part_390,2026-09-20 20:37:26
Janki Vatika,Exhibitions,Marriage celebrant,"Marriage celebrant, Community center",841204,Bihar Circle,Muzaffarpur Region,Saran Division,"Chainwa SO, Asahani BO, Atarsan BO",N/A,N/A,4.0,,"XGHH+F5M, Chhapra - Siwan Rd, Bihar 841208",841204,25.9787076,84.52793369999999,ChIJo50KGvnrkjkR63yemDH02xs,https://www.google.com/maps/place/?q=place_id:ChIJo50KGvnrkjkR63yemDH02xs,part_390,2026-09-20 20:37:26
