business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Surendra Mahto,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,5.0,2.0,"XM63+QCG, Panrepur, Bihar 841403",841205,25.9619243,84.6536017,ChIJz3P1TADBkjkRgQSvXGOwPrY,https://www.google.com/maps/place/?q=place_id:ChIJz3P1TADBkjkRgQSvXGOwPrY,part_390,2026-09-20 20:38:04
Ravi Ranjan Prasad Singh,Advocate and Lawyer,Legal services,Legal services,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 94312 83244,N/A,3.7,17.0,"Sandha, Housing Board Colony, Chapra, Bihar 841301","Housing Board Colony, Prabhunath Nagar",25.7923311,84.7499757,ChIJGWeLVfi7kjkRbubTIXKtfkM,https://www.google.com/maps/place/?q=place_id:ChIJGWeLVfi7kjkRbubTIXKtfkM,part_390,2026-09-20 20:38:04
Deepak Kumar Srivastava,Advocate and Lawyer,Immigration attorney,Immigration attorney,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,5.0,2.0,"XJJ7+5VG, Rampur Bindalal, Bihar 841220",841205,25.980432099999998,84.6146933,ChIJUWLyu0_BkjkRema67dQTIVE,https://www.google.com/maps/place/?q=place_id:ChIJUWLyu0_BkjkRema67dQTIVE,part_390,2026-09-20 20:38:04
Advocate (Lawyers) Shreekant Pandey,Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Divorce lawyer, Elder law attorney, Insurance attorney, Lawyers association, Tax consultant",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 96613 62542,N/A,4.9,70.0,"Alkapuram, Street Number 8B, Gaurakshani, Sasaram, Bihar 821113",Gaurakshani,24.959502699999998,84.00845919999999,ChIJr_jCTHS3jTkRRlZ0Qnt2VQc,https://www.google.com/maps/place/?q=place_id:ChIJr_jCTHS3jTkRRlZ0Qnt2VQc,part_390,2026-09-20 20:38:05
RSG Associate (Advocate | Lawyer),Advocate and Lawyer,Lawyer,Lawyer,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 94314 34340,N/A,5.0,27.0,"Chamber 16, Bar Association, CIVIL COURT, Grand Trunk Rd, Navaratan Bazar, Laxkariganj, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.9531435,84.0107829,ChIJjZhXuNK3jTkRQMw1Dc0kSTE,https://www.google.com/maps/place/?q=place_id:ChIJjZhXuNK3jTkRQMw1Dc0kSTE,part_390,2026-09-20 20:38:05
Chhapra Civil Court and Criminal Court,Advocate and Lawyer,District court,District court,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 80847 80686,https://districts.ecourts.gov.in/saran,4.1,181.0,"QPHV+PG3, Thana Chowk, Saran, Chapra, Athasia, Bihar 841301",Saran,25.7792609,84.7438004,ChIJj1qbjsK6kjkRJD7KnQeDBig,https://www.google.com/maps/place/?q=place_id:ChIJj1qbjsK6kjkRJD7KnQeDBig,part_390,2026-09-20 20:38:05
Advocate Akash Bhushan,Advocate and Lawyer,Lawyer,"Lawyer, Civil defense, Criminal justice attorney, Family law attorney",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 70738 64707,https://www.linkedin.com/in/akash-bhushan,5.0,20.0,"Chamber No. 06; Second floor; Rohtas District Bar Association; Civil Court, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.9530834,84.0107778,ChIJ-RSHsh63jTkRalsYdLz_H84,https://www.google.com/maps/place/?q=place_id:ChIJ-RSHsh63jTkRalsYdLz_H84,part_390,2026-09-20 20:38:05
Lawyer,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,,,"near Dr. Sarita kumari, Mahadeva, Siwan, Tanrwa, Bihar 841227",Mahadeva,26.2400964,84.35941299999999,ChIJd-jj3OH9kjkR_bd5H3QCQRM,https://www.google.com/maps/place/?q=place_id:ChIJd-jj3OH9kjkR_bd5H3QCQRM,part_390,2026-09-20 20:38:05
Advocate Kuntall Ghoshal.,Advocate and Lawyer,Lawyer,"Lawyer, Service establishment",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 89818 46213,N/A,4.9,86.0,"Advocate Kuntall Ghoshal., 841205, India",841205,22.4814012,88.3473528,ChIJ-T8tIlFsAjoRso3zhWZcYb0,https://www.google.com/maps/place/?q=place_id:ChIJ-T8tIlFsAjoRso3zhWZcYb0,part_390,2026-09-20 20:38:05
Advocate,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,,,"Nagwan, Bihar 804420",841205,25.2056328,85.050624,ChIJ0XAwQw638jkRa9jjtFKsVb8,https://www.google.com/maps/place/?q=place_id:ChIJ0XAwQw638jkRa9jjtFKsVb8,part_390,2026-09-20 20:38:05
