business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radha furniture company & AV electronics,Furniture Showroom,Furniture accessories supplier,Furniture accessories supplier,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 99423 96511,N/A,4.5,22.0,"VJ2R+36R, Chhapra - Siwan Rd, Kopa, Bihar 841214",841205,25.8502451,84.6405243,ChIJ6S_CLAC_kjkRNaRqjdtzqic,https://www.google.com/maps/place/?q=place_id:ChIJ6S_CLAC_kjkRNaRqjdtzqic,part_390,2026-09-20 20:37:53
Av furniture chhapra,Furniture Showroom,Furniture store,Furniture store,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 96082 59732,N/A,4.8,4.0,"Av furniture sadhpur, Chapra, Bihar 841205",841205,25.891700399999998,84.637366,ChIJwfG1kZ-_kjkR7Yr6Vzi7Mwc,https://www.google.com/maps/place/?q=place_id:ChIJwfG1kZ-_kjkR7Yr6Vzi7Mwc,part_390,2026-09-20 20:37:53
"Maa furniture kopa, Saran ( Bihar) 841214",Furniture Showroom,Furniture accessories,Furniture accessories,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 82108 54593,N/A,5.0,2.0,"Kopa, Chapra, Bihar 841214",841205,25.854733,84.6356764,ChIJ48sNfS-_kjkR7hs6dfFg0po,https://www.google.com/maps/place/?q=place_id:ChIJ48sNfS-_kjkR7hs6dfFg0po,part_390,2026-09-20 20:37:53
Furniture House,Furniture Showroom,Furniture store,"Furniture store, Electronics hire shop",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 80923 88729,N/A,3.8,30.0,"1st floor, Anand complex, SBI building, Daudpur, Bihar 841205",841205,25.904141199999998,84.5945109,ChIJX3IwhHqVkjkRAzs1i-ajHB4,https://www.google.com/maps/place/?q=place_id:ChIJX3IwhHqVkjkRAzs1i-ajHB4,part_390,2026-09-20 20:37:53
SS ENTERPRISES - KOPA,Furniture Showroom,Furniture store,"Furniture store, Electronics store",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 76430 87872,N/A,5.0,62.0,"Near, Gram Panchayat Rd, Kopa, Chapra, Bihar 841214",841205,25.8515925,84.6353263,ChIJydrosUy_kjkRINahLZnzGqs,https://www.google.com/maps/place/?q=place_id:ChIJydrosUy_kjkRINahLZnzGqs,part_390,2026-09-20 20:37:53
Arvind shau mil /(kushwaha furniture),Furniture Showroom,Furniture accessories,Furniture accessories,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,3.0,6.0,"VJRP+MWW, Sadhpur Bazar, Bihar 841205",841205,25.8917304,84.6373412,ChIJeSQhgg6_kjkRZ3dP1hETKDU,https://www.google.com/maps/place/?q=place_id:ChIJeSQhgg6_kjkRZ3dP1hETKDU,part_390,2026-09-20 20:37:53
BYAHUT FURNITURE HOUSE,Furniture Showroom,Furniture store,"Furniture store, Amish furniture store, Furniture accessories supplier, Furniture maker, Furniture repair shop, Furniture wholesaler",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 89693 41206,N/A,5.0,3.0,"Bazar, Kohra, Kumna, Bihar 841205",Kohra,25.936737299999997,84.6120758,ChIJ5RXuEje_kjkReGCZX6FNPrE,https://www.google.com/maps/place/?q=place_id:ChIJ5RXuEje_kjkReGCZX6FNPrE,part_390,2026-09-20 20:37:53
Aaliya Enterprises,Furniture Showroom,Furniture store,Furniture store,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",N/A,N/A,5.0,2.0,"VJ2Q+J4J, Abdul Ghaffar Khan Rd, Kopa, Bihar 841214",841205,25.851576599999998,84.6378514,ChIJ0SNBMQC_kjkR-ahkkMjc3ms,https://www.google.com/maps/place/?q=place_id:ChIJ0SNBMQC_kjkR-ahkkMjc3ms,part_390,2026-09-20 20:37:53
Mangalam Furniture,Furniture Showroom,Office furniture store,"Office furniture store, Furniture store",841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 99344 81509,N/A,4.0,4.0,"Pankaj Cinema Rd, Saran, Chapra, Athasia, Bihar 841301",Saran,25.7783777,84.7417949,ChIJfZBEKt26kjkRUQBmj9ZY4xQ,https://www.google.com/maps/place/?q=place_id:ChIJfZBEKt26kjkRUQBmj9ZY4xQ,part_390,2026-09-20 20:37:53
New Bharat Furniture,Furniture Showroom,Furniture store,Furniture store,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 82108 76476,N/A,5.0,2.0,"XMQQ+P85, Amanw, Bihar 841403",841205,25.989259099999998,84.68835829999999,ChIJpSYSHzvBkjkRSXrI02C-dQE,https://www.google.com/maps/place/?q=place_id:ChIJpSYSHzvBkjkRSXrI02C-dQE,part_390,2026-09-20 20:37:53
lokesh furniture bhatkeshari,Furniture Showroom,Furniture store,Furniture store,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 95250 01301,N/A,5.0,3.0,"Bhat Kesar, Bihar 841403",841205,25.9430625,84.6673125,ChIJCQTMnai_kjkRbpm2oEKNY4A,https://www.google.com/maps/place/?q=place_id:ChIJCQTMnai_kjkRbpm2oEKNY4A,part_390,2026-09-20 20:37:54
Vishwakarma Furniture House,Furniture Showroom,Furniture accessories,Furniture accessories,841205,Bihar Circle,Muzaffarpur Region,Saran Division,"Daudpur SO Saran, Bangra BO, Barwakhurd BO",+91 96315 41566,N/A,,,"Railway Station Rd, near daudpur, Daudpur, chhapra, Bihar 841205",841205,25.9073055,84.5919942,ChIJ697O4aiVkjkRr31sjJ6gug8,https://www.google.com/maps/place/?q=place_id:ChIJ697O4aiVkjkRr31sjJ6gug8,part_390,2026-09-20 20:37:54
